Total pages,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doc id,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AVG: 3.5404503753,AVG: 21.7583333333,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MEDIAN: 2,MEDIAN: 18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,no of labels,no of para,no of unique words in page(over all para),no of words in each para,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
3,1,3,24,24,21,16,,,,,,,,,,,,,,,,,,,,,,,
4,1,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
5,1,3,12,12,10,11,,,,,,,,,,,,,,,,,,,,,,,
6,2,10,47,47,15,15,15,19,19,22,19,12,13,,,,,,,,,,,,,,,,
7,1,2,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,
8,1,3,28,28,25,21,,,,,,,,,,,,,,,,,,,,,,,
9,1,2,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,
10,1,3,12,12,9,8,,,,,,,,,,,,,,,,,,,,,,,
11,2,7,46,46,22,21,24,19,21,14,,,,,,,,,,,,,,,,,,,
12,1,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
13,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
14,1,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
15,1,3,17,17,14,14,,,,,,,,,,,,,,,,,,,,,,,
16,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
17,1,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
18,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
19,1,4,25,25,19,20,13,,,,,,,,,,,,,,,,,,,,,,
20,1,12,46,46,9,12,20,18,21,21,21,24,21,15,13,,,,,,,,,,,,,,
21,1,3,12,12,8,8,,,,,,,,,,,,,,,,,,,,,,,
22,1,2,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,
23,1,5,34,34,21,27,16,6,,,,,,,,,,,,,,,,,,,,,
24,2,13,60,60,17,20,19,19,22,21,16,14,12,17,19,18,,,,,,,,,,,,,
25,1,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
26,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
27,1,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
28,2,6,35,35,13,12,16,22,18,,,,,,,,,,,,,,,,,,,,
29,2,3,16,16,15,9,,,,,,,,,,,,,,,,,,,,,,,
30,1,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
31,1,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
32,1,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
33,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
34,1,2,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,
35,1,2,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,
36,1,6,41,41,17,20,19,17,16,,,,,,,,,,,,,,,,,,,,
37,2,6,35,35,18,16,16,18,12,,,,,,,,,,,,,,,,,,,,
38,1,2,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,
39,1,2,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,
40,2,17,68,68,17,19,14,13,14,11,13,16,15,16,15,12,12,5,7,9,,,,,,,,,
41,2,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
42,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
43,1,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
44,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
45,1,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
46,1,10,54,54,15,18,18,20,22,19,14,22,19,,,,,,,,,,,,,,,,
47,1,2,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,
48,1,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
49,1,3,22,22,17,18,,,,,,,,,,,,,,,,,,,,,,,
50,1,3,21,21,18,16,,,,,,,,,,,,,,,,,,,,,,,
51,2,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
52,1,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
53,1,4,32,32,22,25,15,,,,,,,,,,,,,,,,,,,,,,
54,1,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
55,1,4,21,21,9,17,14,,,,,,,,,,,,,,,,,,,,,,
56,2,3,21,21,16,16,,,,,,,,,,,,,,,,,,,,,,,
57,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
58,2,9,60,60,20,25,23,22,21,16,14,15,,,,,,,,,,,,,,,,,
59,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
60,2,2,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,
61,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
62,1,3,27,27,21,23,,,,,,,,,,,,,,,,,,,,,,,
63,1,3,17,17,13,13,,,,,,,,,,,,,,,,,,,,,,,
