WIKI10_MIML after preprocessing - No of documents in which a particular label is present,,,
index,freq_count_for_label_in_test,freq_count_for_label_in_train,total_freq_count_for_label
30134,4978,10724,15702
30071,2584,5585,8169
24290,1767,3741,5508
14548,1141,2522,3663
24485,874,1956,2830
25251,833,1665,2498
15871,692,1265,1957
23364,599,1293,1892
22146,617,1235,1852
3177,600,1216,1816
22392,585,1201,1786
8262,569,1141,1710
3093,496,1073,1569
22878,499,982,1481
9026,442,953,1395
26369,434,950,1384
4873,430,896,1326
17273,417,891,1308
27735,412,822,1234
20047,389,838,1227
23615,377,834,1211
18703,403,775,1178
9124,377,754,1131
24384,351,737,1088
28003,363,723,1086
17901,338,722,1060
7284,330,719,1049
5313,326,660,986
10341,349,630,979
30459,309,650,959
14251,281,646,927
8858,258,641,899
15584,286,581,867
10247,279,575,854
7676,311,531,842
18731,266,569,835
10708,248,575,823
29833,263,538,801
15929,270,522,792
10794,232,534,766
3185,243,522,765
4826,247,469,716
12717,240,464,704
2965,236,466,702
15732,229,470,699
24130,215,467,682
4427,214,466,680
11922,222,457,679
22517,231,425,656
17821,203,451,654
12527,201,444,645
24101,216,422,638
12900,197,431,628
278,195,432,627
30369,197,416,613
17439,193,417,610
28376,188,422,610
28585,195,414,609
15544,185,405,590
21422,178,396,574
26250,168,401,569
25468,191,373,564
30362,172,386,558
19826,192,355,547
15155,190,350,540
27699,184,355,539
20566,169,367,536
18457,168,366,534
4448,167,358,525
14123,173,345,518
29121,167,339,506
18888,157,345,502
29438,175,325,500
12750,167,325,492
7336,159,328,487
11993,155,331,486
25224,159,327,486
17859,160,324,484
2139,165,310,475
3224,154,321,475
6794,156,315,471
2127,159,309,468
12855,149,313,462
12265,143,314,457
29845,146,307,453
28319,143,309,452
26901,161,276,437
13668,145,291,436
17777,143,290,433
20584,136,293,429
14932,155,270,425
10877,138,285,423
21209,130,280,410
12767,137,272,409
24553,119,288,407
17043,121,283,404
3235,136,267,403
28764,136,267,403
28024,133,263,396
26350,131,264,395
7353,116,273,389
16392,133,255,388
17686,116,269,385
5018,134,248,382
18743,148,233,381
22461,111,270,381
23399,129,250,379
1967,132,246,378
8537,112,265,377
